Time/t	Open	R	R_t+1	R_t+2	R_t+3	Volume	Scores_t	segment_t
74	162.84	-0.000184196	0.00024564	0.001412083	0.001961866	113.77	0.347619048	5
75	162.88	0.00024564	0.001412083	0.001961866	-0.000856636	269.31	0.354080908	5
76	163.11	0.001412083	0.001961866	-0.000856636	0.000244963	698.79	0.321497765	6
77	163.43	0.001961866	-0.000856636	0.000244963	-0.001530643	572.93	0.172943193	6
78	163.29	-0.000856636	0.000244963	-0.001530643	-0.002330145	492.57	0.144516129	6
79	163.33	0.000244963	-0.001530643	-0.002330145	-0.003810695	371.79	0.114679912	6
80	163.08	-0.001530643	-0.002330145	-0.003810695	0.001357354	411.64	0.178177405	6
81	162.7	-0.002330145	-0.003810695	0.001357354	-0.0008626	614.98	0.288074342	6
82	162.08	-0.003810695	0.001357354	-0.0008626	-0.00049334	564.87	0.26568313	6
83	162.3	0.001357354	-0.0008626	-0.00049334	-0.002282823	358.37	0.164035088	6
84	162.16	-0.0008626	-0.00049334	-0.002282823	0.000432874	299.44	0.118192675	6
85	162.08	-0.00049334	-0.002282823	0.000432874	0	361.03	0.12463548	6
86	161.71	-0.002282823	0.000432874	0	0.000185437	312.11	0.09847561	6
87	161.78	0.000432874	0	0.000185437	0.000741611	227.25	0.167965077	6
88	161.78	0	0.000185437	0.000741611	0.001358612	159.61	0.175927328	6
89	161.81	0.000185437	0.000741611	0.001358612	-0.000986741	230.72	0.179993041	6
90	161.93	0.000741611	0.001358612	-0.000986741	0.000185197	174.89	0.188065234	6
91	162.15	0.001358612	-0.000986741	0.000185197	0.001481299	166.02	0.150298954	6
92	161.99	-0.000986741	0.000185197	0.001481299	-0.002588438	163.62	0.146158224	6
93	162.02	0.000185197	0.001481299	-0.002588438	-0.002656945	336.38	0.146459166	6
94	162.26	0.001481299	-0.002588438	-0.002656945	-0.003407472	296.38	0.092323097	6
95	161.84	-0.002588438	-0.002656945	-0.003407472	-0.00180281	704.01	0.125687702	6
96	161.41	-0.002656945	-0.003407472	-0.00180281	-0.002304291	637.6	0.148215962	6
97	160.86	-0.003407472	-0.00180281	-0.002304291	0.002372035	885.86	0.145269673	6
98	160.57	-0.00180281	-0.002304291	0.002372035	-0.00249097	578.69	0.159057677	6
99	160.2	-0.002304291	0.002372035	-0.00249097	0.001685604	483.47	0.209265176	6
100	160.58	0.002372035	-0.00249097	0.001685604	0.000311624	804.77	0.18404908	6
101	160.18	-0.00249097	0.001685604	0.000311624	-0.000685358	244.14	0.220684211	6
102	160.45	0.001685604	0.000311624	-0.000685358	0.002306877	325.23	0.209279919	6
103	160.5	0.000311624	-0.000685358	0.002306877	0.000746454	252.23	0.238367129	6
104	160.39	-0.000685358	0.002306877	0.000746454	0.000372949	286.83	0.243927355	6
105	160.76	0.002306877	0.000746454	0.000372949	-0.00062135	236.39	0.237863674	6
106	160.88	0.000746454	0.000372949	-0.00062135	0.000310868	193.98	0.238448276	6
107	160.94	0.000372949	-0.00062135	0.000310868	-0.001802474	209.24	0.229312289	6
108	160.84	-0.00062135	0.000310868	-0.001802474	0.002552927	171.31	0.212895377	6
109	160.89	0.000310868	-0.001802474	0.002552927	-0.004471772	824.31	0.213888889	6
110	160.6	-0.001802474	0.002552927	-0.004471772	-0.000374322	515.57	0.153270609	7
111	161.01	0.002552927	-0.004471772	-0.000374322	-0.000748923	481.3	0.150943396	7
112	160.29	-0.004471772	-0.000374322	-0.000748923	0	489	0.169646018	7
113	160.23	-0.000374322	-0.000748923	0	0.00212354	221.79	0.197677866	7
114	160.11	-0.000748923	0	0.00212354	-0.001869741	422.32	0.212254902	8
115	160.11	0	0.00212354	-0.001869741	-0.002060568	374.8	0.216830226	8
116	160.45	0.00212354	-0.001869741	-0.002060568	0.000813415	334.65	0.249326923	8
117	160.15	-0.001869741	-0.002060568	0.000813415	0	463.76	0.305152225	8
118	159.82	-0.002060568	0.000813415	0	0	356.23	0.268544304	8
119	159.95	0.000813415	0	0	0	393.75	0.236938202	8
